twere input_files/Hamlet.txt:7
defeated input_files/Hamlet.txt:2
joy input_files/Hamlet.txt:7
taken input_files/Hamlet.txt:4
wife input_files/Hamlet.txt:8
nor input_files/Hamlet.txt:28
herein input_files/Hamlet.txt:1
barrd input_files/Hamlet.txt:2
better input_files/Hamlet.txt:14
wisdoms input_files/Hamlet.txt:1
freely input_files/Hamlet.txt:12
affair input_files/Hamlet.txt:3
alongfor input_files/Hamlet.txt:1
whats input_files/Hamlet.txt:8
news input_files/Hamlet.txt:7
told input_files/Hamlet.txt:6
suit input_files/Hamlet.txt:7
ist input_files/Hamlet.txt:9
laer input_files/Hamlet.txt:47
dread input_files/Hamlet.txt:4
leave input_files/Hamlet.txt:27
favour input_files/Hamlet.txt:9
return input_files/Hamlet.txt:8
france input_files/Hamlet.txt:4
whence input_files/Hamlet.txt:3
willingly input_files/Hamlet.txt:3
came input_files/Hamlet.txt:10
duty input_files/Hamlet.txt:13
coronation input_files/Hamlet.txt:1
must input_files/Hamlet.txt:59
confess input_files/Hamlet.txt:8
thoughts input_files/Hamlet.txt:15
wishes input_files/Hamlet.txt:3
bend input_files/Hamlet.txt:2
toward input_files/Hamlet.txt:3
bow input_files/Hamlet.txt:2
gracious input_files/Hamlet.txt:5
pardon input_files/Hamlet.txt:7
fathers input_files/Hamlet.txt:13
polonious input_files/Hamlet.txt:1
pol input_files/Hamlet.txt:69
wrung input_files/Hamlet.txt:1
slow input_files/Hamlet.txt:2
laboursome input_files/Hamlet.txt:1
petition input_files/Hamlet.txt:1
sealed input_files/Hamlet.txt:2
hard input_files/Hamlet.txt:6
consent input_files/Hamlet.txt:3
beseech input_files/Hamlet.txt:5
go input_files/Hamlet.txt:57
thine input_files/Hamlet.txt:13
best input_files/Hamlet.txt:14
