murder input_files/MacBeth.txt:8
shakes input_files/MacBeth.txt:1
single input_files/MacBeth.txt:3
function input_files/MacBeth.txt:1
smotherd input_files/MacBeth.txt:1
surmise input_files/MacBeth.txt:1
partners input_files/MacBeth.txt:1
chance input_files/MacBeth.txt:5
stir input_files/MacBeth.txt:2
honours input_files/MacBeth.txt:4
garments input_files/MacBeth.txt:1
cleave input_files/MacBeth.txt:2
mould input_files/MacBeth.txt:1
aid input_files/MacBeth.txt:3
hour input_files/MacBeth.txt:10
runs input_files/MacBeth.txt:2
roughest input_files/MacBeth.txt:1
leisure input_files/MacBeth.txt:3
